BGM01|569048|大きな空の下で|Ookina Sora No Shita De|广阔的天空之下|廣闊的天空之下
BGM02|327555|高まる胸と食欲|Takamaru Mune To Shokuyoku|心情激动、食欲高涨|心情激動、食慾高漲
BGM03|483679|転がる子猫様|Korogaru Koneko-sama|小猫咪打滚|小貓咪打滾
BGM04|539076|殻の中の小鳥|Kara No Naka No Kotori|壳中的小鸟|殼中的小鳥
BGM05|295291|残念無念|Zannen Munen|悔恨|悔恨
BGM06|1100346|夏の夕暮れ|Natsu No Yugure|夏日的夕阳|夏日的夕陽
BGM07|623132|コントレイル|Contrail|航迹|航跡
BGM08|1231828|一進一退|Isshin Ittai|一进一退|一進一退
BGM09|749738|無限軌道|Mugen Kidou|无限轨道|無限軌道
BGM10|402837|気の抜けたラムネ|Ki No Nuketa Ramune|泄了气的弹珠汽水|洩了氣的彈珠汽水
BGM11|473020|日々喧騒|Hibi Kensou|日日喧嚣|日日喧囂
BGM12|570559|夕焼けと音楽室|Yuuyake To Ongakushitsu|夕阳下的音乐室|夕陽下的音樂室
BGM13|234586|潜む影|Hisomu Kage|暗影|暗影
BGM14|712830|はじまりの風|Hajimari No Kaze|起始之风|起始之風
BGM15|223219|走れ、飛べ！|Hashire, Tobe!|奔跑、起飞！|奔跑、起飛！
BGM16|1467625|翼の休息|Tsubasa No Kyuusoku|修整羽翼|修整羽翼
BGM17|585661|きみのこえ|Kimi No Koe|你的声音|你的聲音
BGM18|170006|愛しい時間|Itoshii Jikan|甜蜜时光|甜蜜時光
BGM19|955837|比翼の鳥|Hiyoku No Tori|比翼之鸟|比翼之鳥
BGM20|534780|黒く粘りつくもの|Kuroku Nebaritsuku Mono|阴魂不散的漆黑之物|陰魂不散的漆黑之物
BGM21|463268|遠い光|Tooi Hikari|遥远的光芒|遙遠的光芒
BGM22|269126|折れた道標|Oreta Douhyou|折断的路标|折斷的路標
BGM23|788295|四島に咲く一輪の薔薇|Shitou Ni Saku Ichirin No Bara|绽放于四岛的一朵蔷薇|綻放於四島的一朵薔薇
BGM24|433024|健闘の握手|Kentou No Akushu|奋斗者的握手|奮鬥者的握手
BGM25|583660|君がいるから|Kimi Ga Iru Kara|因为有你在|因為有你在
BGM26|1663371|明日への一歩|Ashita He No Ippo|向明天踏出一步|向明天踏出一步
BGM27|581152|辿り着いた場所|Tadoritsuita Basho|抵达终点|抵達終點
BGM28|692993|遠い記憶|Tooi Kioku|悠远的记忆|悠遠的記憶
BGM29|326316|勇気の向こうに|Yuuki No Mukou Ni|勇气的彼岸|勇氣的彼岸
BGM30|1258337|大脱走|Daidassou|疯狂逃难|瘋狂逃難
BGM31|1146755|逆風を超えて|Gyakufuu Wo Koete|超越逆风|超越逆風
BGM32|639697|王者の風格|Ouja No Fuukaku|王者的风采|王者的風采
BGM33|241632|空域の支配者|Kuuiki No Shihaisha|空域的支配者|空域的支配者
BGM34|1279896|蒼の彼方へ|Ao No Kanata He|向着苍之彼方|向著蒼之彼方
BGM35|957206|世界の変革者|Sekai no Henkakusha|世界的变革者|世界的變革者
BGM36|84502|胸の奥底|Mune No Okusoko|内心深处|內心深處
BGM37|766661|暖かな日々の中で|Atatakana Hibi No Naka De|在暖暖的日常之中|在暖暖的日常之中
BGM38|727915|めぐり逢う者達|Meguriau Monotachi|邂逅|邂逅
BGM39|1936431|笑わない月|Warawanai Tsuki|不笑之月|不笑之月
BGM40|732987|ちいさな約束|Chiisana Yokusoku|小小的约定|小小的約定
BGM41|1941062|INFINITE SKY ピアノアレンジ|Infinite Sky Piano Arrange|青空无限 钢琴版|青空無限 鋼琴版
BGMPA|202111|Wings of Courage -空を超えて- ピアノアレンジ１|Wings of Courage Piano Arrange 1|Wings of Courage -飞越天空- 钢琴版 1|Wings of Courage -飛越天空- 鋼琴版 1
BGMPB|102004|Wings of Courage -空を超えて- ピアノアレンジ２|Wings of Courage Piano Arrange 2|Wings of Courage -飞越天空- 钢琴版 2|Wings of Courage -飛越天空- 鋼琴版 2
FRsous1chom|0|INFINITE SKY Short Version|Infinite Sky (short ver.)|青空无限 Short Version|青空無限 Short Version
rays120710sL2|0|Rays of the Sun|Rays of the Sun|艳阳高照|艷陽高照
T_wings128|0|Wings of Courage - 空を超えて - piano style (inst.)|Wings of Courage - Piano (inst.)|Wings of Courage - 飞越天空 - piano style (inst.)|Wings of Courage - 飞越天空 - piano style (inst.)
wings1003SMX|0|Wings of Courage - 空を超えて Short Version|Wings of Courage Short Version|Wings of Courage - 飞越天空 Short Version|Wings of Courage - 飛越天空 Short Version
wingsAC_S_L2|0|Wings of Courage - 空を超えて - piano style|Wings of Courage - Piano|Wings of Courage - 飞越天空 - piano style|Wings of Courage - 飛越天空 - piano style
wingsFullL2|0|Wings of Courage - 空を超えて|Wings of Courage|Wings of Courage - 飞越天空 -|Wings of Courage - 飛越天空 -
